event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
553,601,Authority,Female,PRI,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-11,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
554,603,Facility,Does not apply,PVEM,No aplica,Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Comando armado,2022-05-12,Nuevo_Leon,19,5784442,2893492,2890950,1072664,1542048,1409.5,10.392601135557133,723.0997161107168,3.411085876508162,261684.516
555,604,Authority,Male,PRI,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-05-15,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
556,605,Facility,Does not apply,MORENA,No aplica,Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,No identificado,2022-05-17,Baja_California,2,3769020,1868424,1900583,836310,1085230,1047.178571428571,10.178268849206347,657.7127976190476,3.2020982142857144,261684.516
557,606,Authority,Male,PANAL,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-05-17,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
558,607,Authority,Male,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Civiles armados,2022-05-18,Michoacan_de_Ocampo,16,4748846,2442505,2306341,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,261684.516
559,608,Authority,Male,PRD,Gobernador(a),State,Executive,Threat,Fuerza del pueblo,2022-05-18,Quintana_Roo,23,1857985,921206,936779,468580,482478,549.3314065510598,10.03839113680154,685.6666666666666,3.227986512524085,261684.516
560,609,Authority,Male,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-19,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
561,610,Authority,Male,MORENA,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-05-19,Colima,6,731391,370769,360622,123074,201601,187.6702702702703,9.67072972972973,781.0216216216216,3.177621621621621,109098.972
562,605,Facility,Does not apply,MORENA,No aplica,Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,No identificado,2022-05-20,Baja_California,2,3769020,1868424,1900583,836310,1085230,1047.178571428571,10.178268849206347,657.7127976190476,3.2020982142857144,261684.516
566,613,Party,Female,PVEM,Ex-Candidato(a),Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),2022-05-21,Puebla,21,6583278,3423163,3160115,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.768513412816692,595393.262
567,614,Authority,Male,PVEM,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-05-21,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
