Number,ID.1,event_id,victim_id,victim_type,victim_name,victim_gender,party1,party2,party3,party4,coallition,1stpoliticaloffice,2ndpoliticaloffice,3rdpoliticaloffice,general_category_1,general_category_2,general_category_3,level_of_government,government_area,event_type,aggressor,remarks_on_the_crime,date,state,municipal,INEGIcode,MunINEGIcode,Entity,Totalpopulation,Female_population,Male_population,economically_active_population,No_health_services_pop,12_year_old_single_population,ID.1,avg_scholarity,home_count,average_number_in_home,GDP,Concepto
29,OAX-2018-02-15,20,27,Authority,Francisco Hernández Sánchez,Male,PRI,,,,,Ex-Alcalde,Ex-Diputado local,Ex-Funcionario,Ex-Alcalde(sa),Ex-Diputado(a),Ex-Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-02-15,Oaxaca,Heroica Ciudad de Ejutla de Crespo,20,28,20,4132148,2157305,1974843,1825593,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486,Oaxaca
30,VER-2018-02-17,21,28,Authority,Ciro Nieto Zamora,Male,PAN,,,,,"Ex-Regidor de Pánuco, Veracruz",,,Ex-Regidor(a),,,Municipal,Executive,Murder,Sujeto(s) armado(s),Hombres armados le dispararon a quemarropa,2018-02-17,Veracruz_de_Ignacio_de_la_Llave,Pánuco,30,123,30,8062579,4190805,3871774,3851221,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,,
31,NAY-2018-02-18,878,968,Authority,Alfonso Hernández Villavicencio,Male,PRI,,,,,Agente de la PGR,,,Funcionario(a),,,Federal,Seguridad (e.g. policías; fuerzas del orden),Murder,CJNG,,2018-02-18,Nayarit,Xalisco,18,8,18,1235456,623178,612278,609556,273039,313489,504.7737603305785,9.300371900826446,498.87396694214874,3.352510330578512,121042.682,Nayarit
32,NAY-2018-02-18,878,969,Authority,Octavio Martínez,Male,PRI,,,,,Agente de la PGR,,,Funcionario(a),,,Federal,Seguridad (e.g. policías; fuerzas del orden),Murder,CJNG,,2018-02-18,Nayarit,Xalisco,18,8,18,1235456,623178,612278,609556,273039,313489,504.7737603305785,9.300371900826446,498.87396694214874,3.352510330578512,121042.682,Nayarit
33,COL-2018-02-20,22,29,Authority,Martín Cázares Zárate,Male,PAN,,,,No,Regidor,,,Regidor(a),,,Municipal,Executive,Murder,Sujeto(s) armado(s),2 sujetos armados a bordo de una motocicleta,2018-02-20,Colima,Tecomán,6,9,6,731391,370769,360622,386642,123074,201601,187.67027027027027,9.67072972972973,781.0216216216216,3.1776216216216215,109098.972,Colima
34,GRO-2018-02-25,23,30,Party,Dulce Nayeli Rebaja Pedro,Female,PRI,,,,,Pre-Candidata a la diputación 25 de Guerrero,,,Pre-candidato(a),,,State,Elections and Campaigns,Kidnapping,No identificado,,2018-02-25,Guerrero,Chilapa de Álvarez,12,28,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
35,GRO-2018-02-25,24,30,Party,Dulce Nayeli Rebaja Pedro,Female,PRI,,,,,Pre-Candidata a la diputación 25 de Guerrero,Titular de la Dirección de Investigación y Evaluación de la Secretaría de Asuntos Indígenes y Comunidades Afroamericanas,,Pre-candidato(a),Funcionario(a),,State,Elections and Campaigns,Murder,No identificado,,2018-02-25,Guerrero,Chilapa de Álvarez,12,28,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
36,GRO-2018-03-03,25,31,Party,Homero Bravo Espino,Male,PRD,,,,,Pre-Candidato por el PRD a alcalde de Ixtapa Zihuatanejo,,,Pre-candidato(a),,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-03-03,Guerrero,Zihuatanejo de Azueta,12,38,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
37,PUE-2018-03-09,26,32,Party,Miguel Ángel Morales Morales,Male,MC,,,,,Pre-Candidato a alcalde,,,Pre-candidato(a),,,Municipal,Elections and Campaigns,Armed Attack,No identificado,,2018-03-09,Puebla,Zihuateutla,21,213,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
38,PUE-2018-03-11,27,33,Party,Alma Salinas Martínez,Female,MORENA,PT,PES,,Sí,Candidatoa a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Threat,No identificado,,2018-03-11,Puebla,Hueytamalco,21,76,21,6583278,3423163,3160115,3198118,1921945,1790595,1354.3837555886737,8.984105812220566,808.8386736214605,3.7685134128166915,595393.262,Puebla
