"","id","id_evento","id_victima","tipo_vic","nom_vic","genero_vic","partido1","partido2","partido3","partido4","coalicion","puesto1","puesto2","puesto3","cat_puesto1","cat_puesto2","cat_puesto3","nivel_gob","area_gob","tipo_evento","agresor","Obs_agresor","fecha","estado","municipio","cve_edoINEGI","cve_munINEGI"
"418","TAM-2021-04-24",359,397,"Partido","Francisco Gerardo Rocha Chávez","Hombre","PVEM","","","","","Candidato a diputación local","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","No identificado","","2021-04-24","Tamaulipas","Victoria","28","041"
"419","GTO-2021-04-26",360,398,"Autoridad","Paula Casas","Mujer","PVEM","","","","","Esposa del regidor del PVEM Miguel Alberto Cardiel Ledesma","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2021-04-26","Guanajuato","Salvatierra","11","028"
"420","MOR-2021-04-29",361,399,"Partido","Alejandra Lagunes Rodríguez","Mujer","Armonía por Morelos","","","","","Candidata a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2021-04-29","Morelos","Xochitepec","17","028"
"421","VER-2021-04-29",362,400,"Autoridad","Eustorgio Sánchez López","Hombre","No disponible","","","","","Regidor de Carrillo Puerto, Veracruz","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Secuestro","Sujeto(s) armado(s)","","2021-04-29","Veracruz_de_Ignacio_de_la_Llave","Carrillo Puerto","30","031"
"422","MOR-2021-05-02",363,401,"Partido","Ixchel Estrada","Mujer","Futuro","","","","","Candidata a diputación local","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2021-05-02","Morelos","Xochitepec","17","028"
"423","VER-2021-05-06",364,402,"Partido","Rafael Higareda","Hombre","Todos por Veracruz","","","","","Dirigente municipal del partido","","","Dirigente","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Secuestro","Sujeto(s) armado(s)","Cuatro personas","2021-05-06","Veracruz_de_Ignacio_de_la_Llave","Pánuco","30","123"
"424","VER-2021-05-06",364,403,"Partido","No disponible","No disponible","Todos por Veracruz","","","","","Colaborador","","","Colaborador(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","Cuatro personas","2021-05-06","Veracruz_de_Ignacio_de_la_Llave","Pánuco","30","123"
"425","SLP-2021-05-08",365,404,"Partido","Yolanda Alvizo","Mujer","PT","PVEM","","","Sí","Candidata a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","Sujeto(s) armado(s)","","2021-05-08","San_Luis_Potosi","Villa de Reyes","24","50"
"426","PUE-2021-05-08",366,405,"Partido","Miguel Domínguez López","Hombre","PAN","PRI","PRD","","Sí","Militante","","","Militante","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","","2021-05-08","Puebla","Puebla","21","114"
"427","VER-2021-05-08",367,406,"Partido","Fernando Argüelles Rivera","Hombre","PT","","","","","Candidato a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","","2021-05-08","Veracruz_de_Ignacio_de_la_Llave","Chalma","30","055"
"428","MOR-2021-05-12",368,407,"Partido","Javier Estrada González","Hombre","PVEM","","","","","Candidato a diputación local","","","Candidato(a)","","","Estatal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Atentado","No identificado","","2021-05-12","Morelos","Xochitepec","17","028"
"429","MOR-2021-05-12",368,408,"Partido","Roberto Gonzalo Flores","Hombre","PRI","","","","","Candidato a alcalde","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Amenaza","No identificado","Manta","2021-05-12","Morelos","Xochitepec","17","028"
"430","JAL-2021-05-13",369,409,"Partido","Roberto Albarrán Magaña","Hombre","PRI","","","","No","Candidato a la Presidencia Municipal de San Pedro Tlaquepaque","","","Candidato(a)","","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Ataque armado","No identificado","Un hombre armado disparo múltiples veces a la casa del candidato","2021-05-13","Jalisco","San Pedro Tlaquepaque","14","098"
"431","SON-2021-05-13",370,410,"Partido","Abel Murrieta","Hombre","MC","","","","","Candidato a alcalde","Ex-procurador general de justicia de Sonora","Abogado Fam. Lebarón","Candidato(a)","Ex-Funcionario(a)","","Municipal","Elecciones y campañas (e.g. candidatos; asesores y voluntarios de campaña)","Asesinato","Sujeto(s) armado(s)","","2021-05-13","Sonora","Cajeme","26","018"
